"Time","Temperature","Weather","Rain_Probability"
"2024-06-28 01시","20","구름많음","-"
"2024-06-28 02시","21","비","-"
"2024-06-28 03시","21","구름많음","-"
"2024-06-28 04시","22","맑음","-"
"2024-06-28 05시","22","맑음","-"
"2024-06-28 06시","22","흐림","30"
"2024-06-28 07시","23","흐림","30"
"2024-06-28 08시","23","흐림","30"
"2024-06-28 09시","24","흐림","30"
"2024-06-28 10시","24","흐림","30"
"2024-06-28 11시","24","흐림","30"
"2024-06-28 12시","24","흐림","30"
"2024-06-28 13시","25","흐림","30"
"2024-06-28 14시","25","흐림","30"
"2024-06-28 15시","25","흐림",""
"2024-06-28 16시","25","흐림",""
"2024-06-28 17시","25","흐림",""
"2024-06-28 18시","25","흐림",""
"2024-06-28 19시","25","구름많음",""
"2024-06-28 20시","24","구름많음",""
"2024-06-28 21시","24","맑음",""
"2024-06-28 22시","23","맑음",""
"2024-06-28 23시","23","맑음",""
"2024-06-29 00시","23","구름많음",""
"2024-06-29 01시","22","흐림",""
"2024-06-29 02시","23","구름많음",""
"2024-06-29 03시","23","구름많음",""
"2024-06-29 04시","23","흐림",""
"2024-06-29 05시","22","비",""
"2024-06-29 06시","22","흐림",""
"2024-06-29 07시","24","흐림",""
"2024-06-29 08시","24","흐림",""
"2024-06-29 09시","25","비",""
"2024-06-29 10시","25","비",""
"2024-06-29 11시","26","비",""
"2024-06-29 12시","26","비",""
"2024-06-29 13시","26","비",""
"2024-06-29 14시","26","비",""
"2024-06-29 15시","26","비",""
"2024-06-29 16시","26","비",""
"2024-06-29 17시","27","비",""
"2024-06-29 18시","27","비",""
"2024-06-29 19시","27","비",""
"2024-06-29 20시","27","흐림",""
"2024-06-29 21시","26","흐림",""
"2024-06-29 22시","26","흐림",""
"2024-06-29 23시","26","비",""
"2024-06-30 00시","26","비",""
"2024-06-30 01시","26","흐림",""
"2024-06-30 02시","26","흐림",""
"2024-06-30 03시","26","흐림",""
"2024-06-30 04시","26","흐림",""
"2024-06-30 05시","26","흐림",""
"2024-06-30 06시","26","비",""
"2024-06-30 07시","26","비",""
"2024-06-30 08시","26","비",""
"2024-06-30 09시","26","비",""
"2024-06-30 10시","26","비",""
"2024-06-30 11시","27","비",""
"2024-06-30 12시","27","비",""
"2024-06-30 13시","28","비",""
"2024-06-30 14시","27","비",""
"2024-06-30 15시","27","비",""
"2024-06-30 16시","27","흐림",""
"2024-06-30 17시","27","흐림",""
"2024-06-30 18시","27","흐림",""
"2024-06-30 19시","27","흐림",""
"2024-06-30 20시","26","흐림",""
"2024-06-30 21시","26","흐림",""
"2024-06-30 22시","25","비",""
"2024-06-30 23시","25","비",""
"2024-07-01 00시","25","비",""
